track_name,album_name,artist_name,ms_played
sweetener,Sweetener,Ariana Grande,208493
EXCITED!,COLORWAY,DESTIN CONRAD,14306
love language,Positions,Ariana Grande,179860
successful,Sweetener,Ariana Grande,227386
borderline (feat. Missy Elliott),Sweetener,Ariana Grande,177533
Just a Waste,Just a Waste,simpforvaleria,0
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35,Ariana Grande,180393
Too Late,After Hours,The Weeknd,533
Loveeeeeee Song,Unapologetic,Rihanna,1088
Lifelong Song,Untourable Album,Men I Trust,149
I Like That,Dirty Computer,Janelle Monáe,255
Prom,Ctrl,SZA,85
Cool with You,Songs of Her's,Her's,192
Day 'N' Nite (nightmare),Man On The Moon: The End Of Day,Kid Cudi,213
CUFF IT - WETTER REMIX,CUFF IT,Beyoncé,1344
THIQUE,RENAISSANCE,Beyoncé,191
Long Live A$AP,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,255
Love/Paranoia,Currents,Tame Impala,277
A Lonely Night,Starboy,The Weeknd,789
"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",Cherry Bomb + Instrumentals,"Tyler, The Creator",14646
Wavy (Interlude) (feat. James Fauntleroy),Ctrl,SZA,75800
Never Lose Me (feat. SZA & Cardi B),"Fine Ho, Stay",Flo Milli,487
Percolator,Ctrl (Deluxe),SZA,82513
Wavy (Interlude) (feat. James Fauntleroy),Ctrl,SZA,75800
Never Lose Me (feat. SZA & Cardi B),"Fine Ho, Stay",Flo Milli,308221
Seek & Destroy,SOS,SZA,203733
Love Language,SOS,SZA,183893
Cyber Sex,Hot Pink,Doja Cat,130146
Like A G6,Free Wired,Far East Movement,2880
